,gender,age,education,activity_work,educational_level,voted,party,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp
16491,Male,34,18.0,1,highly_educated,1,Democrats '66,8,10,9,7,6,7,8,8,8,6,10,9
16492,Female,81,3.0,8,lower_educated,1,Party for Freedom,0,2,7,3,9,1,1,5,9,9,8,6
16493,Male,21,10.0,4,mid_educated,1,Forum for Democracy,5,8,9,4,5,5,6,9,9,7,7,5
16494,Female,74,4.0,6,lower_educated,1,Labour Party,7,8,8,7,7,8,7,8,8,8,9,8
16495,Female,23,17.0,1,highly_educated,1,Democrats '66,6,7,8,7,5,7,7,4,5,6,8,6
16496,Male,56,16.0,9,highly_educated,1,Christian Democratic Appeal,6,8,7,5,5,4,7,8,8,7,10,7
16497,Female,50,10.0,1,mid_educated,1,Party for the Animals,3,6,7,3,3,5,5,6,6,7,7,8
16498,Male,61,14.0,1,highly_educated,1,Labour Party,7,9,8,6,6,6,8,8,8,3,6,6
16499,Female,75,4.0,6,lower_educated,1,Christian Union,4,7,7,5,6,88,5,6,3,6,7,6
16500,Male,32,6.0,1,mid_educated,1,Don't know*,8,7,8,7,88,88,88,7,8,6,5,5
16501,Male,48,14.0,8,highly_educated,1,Christian Union,7,8,9,5,6,6,6,8,8,8,7,6
16502,Female,41,10.0,1,mid_educated,3,Not applicable*,8,8,9,7,7,8,7,7,7,7,10,8
16503,Male,53,17.0,9,highly_educated,1,Forum for Democracy,1,1,8,1,4,0,0,3,5,4,3,2
16504,Female,18,4.0,1,lower_educated,3,Not applicable*,6,7,9,7,5,7,6,4,5,0,8,7
16505,Female,46,10.0,1,mid_educated,2,Not applicable*,6,7,8,6,6,7,7,7,6,6,7,7
16506,Male,85,18.0,6,highly_educated,1,Refusal*,88,8,7,6,7,4,5,7,8,8,8,8
16507,Female,52,3.0,1,lower_educated,2,Not applicable*,4,6,4,4,4,88,88,7,7,7,8,2
16508,Female,72,14.0,6,highly_educated,1,50PLUS,6,7,8,6,7,7,7,6,6,6,6,5
16509,Female,56,9.0,5,mid_educated,1,Christian Democratic Appeal,6,5,8,4,5,7,6,8,6,5,9,7
16510,Male,72,17.0,6,highly_educated,1,Green Left,4,6,6,7,7,6,5,7,8,5,8,7
16511,Female,35,17.0,1,highly_educated,1,Volt,5,8,7,4,5,7,8,7,8,8,7,6
16512,Male,28,14.0,1,highly_educated,1,Christian Union,7,8,8,6,7,6,7,7,7,4,5,5
16513,Male,44,10.0,1,mid_educated,2,Not applicable*,7,7,8,7,5,8,8,7,7,3,9,7
16514,Male,69,7.0,6,mid_educated,1,Christian Union,6,6,8,6,6,5,4,8,7,6,7,6
16515,Female,59,10.0,1,mid_educated,1,Christian Union,4,8,9,4,4,2,3,7,7,3,6,3
16516,Female,49,5.0,8,lower_educated,1,Don't know*,5,7,6,5,5,88,5,5,6,4,10,8
16517,Female,49,17.0,1,highly_educated,1,Democrats '66,5,6,7,5,5,7,6,7,8,6,9,6
16518,Female,77,3.0,8,lower_educated,1,Don't know*,7,3,7,5,6,7,88,6,6,6,10,6
16519,Female,45,10.0,1,mid_educated,1,Don't know*,4,0,8,3,3,3,5,5,7,3,5,5
16520,Female,63,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,5,5,7,2,2,4,6,7,7,3,7,6
16521,Female,64,17.0,1,highly_educated,1,Democrats '66,7,9,8,6,6,6,8,8,7,7,7,7
16522,Female,64,8.0,8,mid_educated,2,Not applicable*,6,7,8,7,6,8,5,8,8,7,7,6
16523,Male,65,8.0,6,mid_educated,1,Labour Party,5,7,7,4,5,4,5,8,8,5,7,7
16524,Female,74,13.0,6,highly_educated,1,People's Party for Freedom and Democracy,7,7,7,6,7,6,7,8,8,6,9,9
16525,Male,68,3.0,6,lower_educated,1,Party for Freedom,3,5,6,3,5,2,5,8,6,8,10,5
16526,Female,33,4.0,1,lower_educated,2,Not applicable*,5,88,7,88,5,5,88,5,7,7,7,7
16527,Female,49,16.0,1,highly_educated,1,Christian Democratic Appeal,6,8,9,4,4,6,7,8,8,7,7,7
16528,Female,42,10.0,88,mid_educated,1,Party for Freedom,5,5,8,5,3,4,5,3,6,5,7,6
16529,Male,57,17.0,1,highly_educated,1,BoerBurgerBeweging,1,4,7,1,1,1,6,5,8,8,10,7
16530,Male,33,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,8,6,5,6,6,5,8,7,7,6,6
16531,Male,44,14.0,1,highly_educated,1,Democrats '66,7,8,8,7,7,7,8,7,8,7,8,3
16532,Male,74,7.0,6,mid_educated,1,JA21,5,6,7,3,2,1,5,2,6,6,7,0
16533,Female,48,13.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,7,8,6,5,6,7,8,7,7,5,5
16534,Male,72,3.0,6,lower_educated,1,People's Party for Freedom and Democracy,6,6,8,6,6,4,6,6,7,7,10,8
16535,Female,50,9.0,1,mid_educated,1,People's Party for Freedom and Democracy,6,6,8,6,6,6,6,7,7,8,8,7
16536,Male,33,16.0,1,highly_educated,1,Socialist Party,3,8,7,5,5,8,8,7,9,7,7,9
16537,Male,68,14.0,6,highly_educated,1,Christian Democratic Appeal,4,6,7,4,6,6,5,6,8,6,8,6
16538,Female,77,6.0,6,mid_educated,1,People's Party for Freedom and Democracy,6,8,7,5,5,5,7,6,7,5,7,7
16539,Male,77,17.0,6,highly_educated,1,Labour Party,7,8,8,7,7,8,8,8,8,8,8,9
16540,Female,73,4.0,6,lower_educated,1,People's Party for Freedom and Democracy,6,5,5,6,6,6,6,7,8,7,8,7
16541,Male,67,3.0,6,lower_educated,1,BoerBurgerBeweging,8,8,8,6,6,6,8,8,7,3,5,8
16542,Female,75,7.0,6,mid_educated,1,People's Party for Freedom and Democracy,5,7,7,6,6,6,6,5,6,5,7,6
16543,Male,48,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,6,8,4,6,6,8,7,7,4,8,6
16544,Male,33,4.0,8,lower_educated,1,Green Left,3,10,8,5,3,5,5,8,7,5,3,2
16545,Female,78,3.0,8,lower_educated,1,Socialist Party,5,5,7,6,6,5,5,7,7,7,8,6
16546,Male,54,14.0,1,highly_educated,1,Labour Party,8,8,8,7,7,7,6,7,7,8,7,8
16547,Male,64,16.0,1,highly_educated,1,BoerBurgerBeweging,2,3,5,2,3,0,5,6,7,4,8,0
16548,Male,31,15.0,1,highly_educated,1,JA21,6,7,6,2,2,3,2,6,6,3,8,4
16549,Male,21,4.0,2,lower_educated,1,Green Left,9,88,8,7,7,5,5,7,7,8,6,5
16550,Female,47,17.0,8,highly_educated,2,Not applicable*,6,7,7,2,3,88,88,6,7,7,6,6
16551,Female,33,13.0,1,highly_educated,1,Don't know*,7,9,9,7,8,9,9,7,6,6,9,9
16552,Male,50,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,9,9,8,8,7,7,8,8,6,9,6
16553,Male,78,8.0,8,mid_educated,1,People's Party for Freedom and Democracy,6,7,6,4,3,7,7,6,7,5,9,7
16554,Male,39,17.0,1,highly_educated,1,Christian Democratic Appeal,8,88,9,8,7,7,7,8,8,7,8,8
16555,Male,38,14.0,1,highly_educated,2,Not applicable*,8,9,9,8,6,8,9,8,8,8,2,8
16556,Male,38,15.0,8,highly_educated,1,Democrats '66,8,9,7,7,7,7,8,7,8,7,8,7
16557,Male,52,17.0,1,highly_educated,1,Party for the Animals,6,8,7,8,6,6,9,8,8,6,9,3
16558,Female,67,5.0,8,lower_educated,1,BoerBurgerBeweging,0,0,8,0,5,0,0,7,5,5,9,2
16559,Female,79,3.0,8,lower_educated,2,Not applicable*,7,5,7,5,5,6,5,3,5,5,5,4
16560,Male,52,9.0,99,mid_educated,1,Refusal*,2,6,6,2,2,0,5,8,7,2,9,1
16561,Female,48,16.0,1,highly_educated,1,Christian Union,8,9,8,8,8,8,8,9,9,7,9,7
16562,Female,32,9.0,1,mid_educated,1,Reformed Political Party,7,7,9,6,4,6,6,6,6,5,5,3
16563,Female,75,17.0,6,highly_educated,1,Socialist Party,6,7,7,5,5,6,7,1,1,8,9,9
16564,Male,57,17.0,5,highly_educated,1,Don't know*,1,5,3,2,2,4,1,6,7,7,7,8
16565,Female,18,10.0,2,mid_educated,2,Not applicable*,4,6,5,4,5,6,4,4,3,5,6,5
16566,Male,64,3.0,6,lower_educated,1,Party for Freedom,7,3,7,2,5,0,0,5,7,3,7,4
16567,Female,40,10.0,1,mid_educated,2,Not applicable*,2,7,4,0,0,0,0,7,6,8,6,2
16568,Male,42,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,8,7,6,7,6,5,7,8,4,8,7
16569,Male,76,3.0,6,lower_educated,1,Party for Freedom,0,6,9,0,0,0,10,10,10,5,10,2
16570,Female,23,10.0,1,mid_educated,1,Other,2,8,8,5,5,5,7,2,3,3,0,5
16571,Male,46,17.0,1,highly_educated,1,Volt,6,8,7,6,6,5,7,5,7,6,8,7
16572,Female,43,4.0,1,lower_educated,1,Democrats '66,5,6,7,4,6,4,7,5,5,0,7,8
16573,Female,69,14.0,8,highly_educated,1,People's Party for Freedom and Democracy,6,7,8,6,6,7,8,7,8,9,8,7
16574,Male,37,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,6,8,9,6,6,5,6,7,8,5,8,7
16575,Male,64,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,3,9,8,4,5,5,5,5,8,5,8,2
16576,Female,62,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,7,6,7,6,7,7,9,8,5,8,7
16577,Female,52,10.0,8,mid_educated,1,People's Party for Freedom and Democracy,6,6,8,6,6,6,5,8,8,7,8,7
16578,Female,76,3.0,6,lower_educated,1,Socialist Party,5,6,7,5,6,5,5,0,5,5,6,5
16579,Male,60,3.0,1,lower_educated,2,Not applicable*,6,6,7,7,6,7,6,7,6,7,7,7
16580,Male,74,9.0,1,mid_educated,8,Not applicable*,0,0,0,0,0,0,4,4,3,3,5,0
16581,Male,44,9.0,1,mid_educated,1,Christian Democratic Appeal,6,4,8,5,5,2,7,4,7,5,8,3
16582,Female,56,17.0,1,highly_educated,1,Party for the Animals,4,3,8,3,3,5,3,2,5,3,5,3
16583,Male,39,6.0,1,mid_educated,1,Christian Democratic Appeal,8,9,9,6,6,6,6,9,7,6,8,5
16584,Female,33,14.0,1,highly_educated,1,Democrats '66,6,8,5,4,6,6,5,6,6,7,7,2
16585,Male,73,16.0,6,highly_educated,1,People's Party for Freedom and Democracy,8,9,8,7,7,7,7,6,6,6,8,8
16586,Male,61,17.0,1,highly_educated,1,Christian Union,8,8,8,8,8,8,9,8,8,7,9,9
16587,Female,42,4.0,8,lower_educated,1,Reformed Political Party,5,8,0,7,6,88,88,6,6,6,10,1
16588,Male,49,14.0,1,highly_educated,1,BoerBurgerBeweging,6,4,7,5,5,3,7,6,5,2,3,2
16589,Female,61,6.0,1,mid_educated,1,People's Party for Freedom and Democracy,6,7,8,6,6,6,6,7,6,4,8,5
16590,Female,34,16.0,1,highly_educated,2,Not applicable*,3,6,9,3,5,7,9,9,9,5,8,7
16591,Female,72,17.0,6,highly_educated,2,Not applicable*,7,7,7,7,6,7,7,8,9,9,5,5
16592,Female,80,16.0,6,highly_educated,2,Not applicable*,3,4,5,0,3,3,5,8,8,7,6,8
16593,Male,36,10.0,1,mid_educated,2,Not applicable*,3,10,8,5,4,6,8,0,5,7,5,7
16594,Male,62,16.0,8,highly_educated,1,Labour Party,8,9,7,5,6,7,5,8,6,8,10,8
16595,Male,38,10.0,1,mid_educated,1,Reformed Political Party,7,5,8,7,7,7,8,7,7,4,0,6
16596,Male,63,3.0,1,lower_educated,1,Reformed Political Party,2,6,7,3,3,88,88,3,5,2,8,1
16597,Female,78,3.0,6,lower_educated,1,Christian Democratic Appeal,5,6,8,7,5,0,4,8,7,7,9,4
16598,Female,53,14.0,1,highly_educated,1,Volt,3,5,6,2,2,1,1,6,6,5,7,7
16599,Male,76,3.0,6,lower_educated,2,Not applicable*,2,4,7,2,2,2,2,6,4,7,8,5
16600,Male,81,17.0,6,highly_educated,2,Not applicable*,6,6,6,3,3,6,4,5,5,5,0,5
16601,Female,999,12.0,2,highly_educated,3,Not applicable*,5,6,5,4,4,5,6,7,8,5,5,5
16602,Male,32,9.0,1,mid_educated,1,Democrats '66,7,8,9,6,6,88,88,8,9,5,7,5
16603,Female,35,16.0,1,highly_educated,1,Democrats '66,7,8,8,6,6,88,88,6,7,3,8,4
16604,Female,55,17.0,8,highly_educated,1,Democrats '66,7,7,7,6,6,6,6,3,7,6,8,7
16605,Male,17,2.0,2,lower_educated,3,Not applicable*,88,9,8,5,8,88,88,6,7,3,6,3
16606,Female,40,14.0,1,highly_educated,1,Christian Democratic Appeal,3,5,7,3,3,88,7,4,7,4,8,7
16607,Female,59,4.0,1,lower_educated,1,JA21,3,8,8,4,4,5,7,88,8,7,7,5
16608,Female,31,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,7,8,6,7,8,8,7,6,6,7,6
16609,Male,43,11.0,1,mid_educated,1,People's Party for Freedom and Democracy,6,9,7,6,5,4,7,2,5,5,6,4
16610,Female,41,9.0,8,mid_educated,1,Party for Freedom,0,3,4,0,0,0,0,5,8,3,8,0
16611,Female,73,3.0,6,lower_educated,1,Christian Democratic Appeal,3,3,9,5,5,4,5,5,5,5,6,6
16612,Male,35,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,7,7,8,6,5,4,8,5,6,6,7,6
16613,Female,48,5555.0,1,,1,Don't know*,6,88,88,88,88,7,88,5,7,4,6,6
16614,Female,80,14.0,8,highly_educated,1,Don't know*,6,7,8,5,5,6,6,9,7,8,9,8
16615,Male,36,3.0,1,lower_educated,1,Labour Party,5,3,5,1,1,3,3,5,8,8,8,7
16616,Female,54,2.0,5,lower_educated,1,Forum for Democracy,2,2,0,2,2,77,2,2,2,2,2,2
16617,Male,69,4.0,6,lower_educated,1,People's Party for Freedom and Democracy,7,8,9,7,6,3,6,8,7,7,8,5
16618,Male,35,3.0,4,lower_educated,2,Not applicable*,88,6,5,88,88,88,88,5,5,5,5,5
16619,Male,68,18.0,6,highly_educated,1,Green Left,5,8,7,6,6,6,3,8,8,6,7,9
16620,Female,73,3.0,6,lower_educated,1,Socialist Party,3,3,3,3,3,2,4,5,5,5,10,5
16621,Female,73,3.0,6,lower_educated,1,Labour Party,5,5,7,5,5,5,5,8,5,5,9,9
16622,Male,17,1.0,9,lower_educated,3,Not applicable*,3,6,5,5,6,7,5,6,9,6,2,3
16623,Male,65,18.0,1,highly_educated,1,Party for the Animals,4,7,6,5,5,5,5,8,8,7,8,5
16624,Female,53,14.0,1,highly_educated,1,Christian Democratic Appeal,5,7,5,3,3,5,5,3,5,3,6,5
16625,Male,26,10.0,2,mid_educated,1,People's Party for Freedom and Democracy,7,9,7,6,6,7,8,7,7,6,9,7
16626,Female,17,1.0,2,lower_educated,3,Not applicable*,8,6,7,6,6,8,8,3,5,3,8,6
16627,Male,61,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,9,7,6,7,4,7,3,5,7,7,7
16628,Female,18,4.0,2,lower_educated,3,Not applicable*,4,3,4,3,4,7,7,7,6,6,6,6
16629,Female,58,9.0,1,mid_educated,1,Green Left,4,5,6,4,4,5,6,7,7,7,8,6
16630,Male,29,17.0,1,highly_educated,1,Labour Party,7,8,8,7,7,6,8,7,6,5,9,8
16631,Female,72,4.0,6,lower_educated,1,Democrats '66,6,8,7,6,6,5,7,8,8,7,8,7
16632,Male,20,6.0,1,mid_educated,2,Not applicable*,4,5,5,5,5,4,4,7,7,7,6,5
16633,Male,36,12.0,1,highly_educated,1,People's Party for Freedom and Democracy,5,6,6,4,4,3,3,3,4,5,6,5
16634,Male,74,3.0,1,lower_educated,1,Refusal*,8,9,8,5,6,7,6,6,7,4,9,9
16635,Male,33,10.0,1,mid_educated,2,Not applicable*,8,7,9,7,6,6,7,4,5,3,7,7
16636,Female,40,13.0,1,highly_educated,3,Not applicable*,8,8,8,8,8,8,88,5,6,7,8,8
16637,Male,36,14.0,1,highly_educated,3,Not applicable*,7,9,9,7,7,8,6,7,7,5,6,8
16638,Female,35,14.0,1,highly_educated,1,Party for the Animals,7,8,7,6,6,7,9,7,7,8,8,7
16639,Male,46,2.0,1,lower_educated,1,Socialist Party,7,8,8,9,7,8,9,6,8,5,6,5
16640,Male,72,13.0,8,highly_educated,1,Democrats '66,8,8,8,7,7,8,8,7,7,7,7,7
16641,Female,69,4.0,6,lower_educated,1,Green Left,5,7,8,5,5,6,7,9,8,8,8,8
16642,Female,79,3.0,6,lower_educated,1,Don't know*,6,6,7,6,6,6,6,7,3,7,8,7
16643,Male,67,4.0,1,lower_educated,1,Socialist Party,4,6,7,4,4,3,6,8,7,6,7,7
16644,Female,59,4.0,5,lower_educated,1,Democrats '66,6,6,8,6,6,6,7,5,5,6,8,8
16645,Female,75,2.0,6,lower_educated,2,Not applicable*,0,5,8,0,0,4,4,7,7,7,7,5
16646,Female,75,4.0,6,lower_educated,1,Party for Freedom,0,5,7,6,4,6,7,0,7,8,4,4
16647,Male,55,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,6,8,5,6,7,8,8,8,7,8,7
16648,Male,57,9.0,1,mid_educated,1,JA21,0,0,0,0,0,0,2,0,2,2,5,5
16649,Female,33,17.0,1,highly_educated,1,Green Left,8,9,8,6,7,5,6,7,9,8,8,8
16650,Male,33,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,8,8,5,5,7,7,7,7,8,7,7
16651,Female,34,17.0,1,highly_educated,1,Democrats '66,8,8,7,7,7,7,8,5,7,7,10,10
16652,Male,73,13.0,6,highly_educated,1,BoerBurgerBeweging,4,6,6,6,6,3,5,9,9,5,5,5
16653,Female,67,3.0,8,lower_educated,2,Not applicable*,1,3,7,1,3,3,88,3,3,2,2,0
16654,Female,55,17.0,1,highly_educated,1,Democrats '66,6,8,9,7,6,7,7,8,8,7,8,7
16655,Male,64,13.0,6,highly_educated,1,Volt,8,9,8,7,7,9,6,8,8,7,9,8
16656,Female,17,2.0,2,lower_educated,3,Not applicable*,8,8,8,7,6,8,7,8,6,6,6,6
16657,Female,71,4.0,6,lower_educated,1,BoerBurgerBeweging,4,4,6,5,3,4,4,5,7,5,5,5
16658,Female,26,14.0,1,highly_educated,2,Not applicable*,7,8,9,7,7,8,8,3,3,3,8,6
16659,Male,38,2.0,1,lower_educated,2,Not applicable*,9,10,10,10,10,5,0,0,4,3,8,2
16660,Male,44,9.0,1,mid_educated,1,Forum for Democracy,3,5,4,2,2,1,4,3,5,2,7,1
16661,Female,48,16.0,1,highly_educated,1,Democrats '66,7,8,8,6,7,6,88,3,5,7,8,7
16662,Male,19,4.0,2,lower_educated,3,Not applicable*,6,7,8,6,7,8,8,5,5,5,5,5
16663,Female,71,17.0,6,highly_educated,1,Democrats '66,7,8,8,7,6,7,7,8,7,5,8,5
16664,Female,66,9.0,8,mid_educated,2,Not applicable*,0,0,7,0,0,0,0,2,2,2,8,6
16665,Male,67,10.0,6,mid_educated,1,Labour Party,8,9,9,7,8,8,8,7,7,7,9,9
16666,Female,50,16.0,1,highly_educated,1,Green Left,9,9,9,6,6,5,7,7,7,7,10,8
16667,Female,73,13.0,6,highly_educated,1,People's Party for Freedom and Democracy,6,7,7,6,6,4,7,7,7,4,10,6
16668,Female,17,2.0,2,lower_educated,3,Not applicable*,6,7,8,6,6,8,7,4,5,6,8,7
16669,Female,90,4.0,6,lower_educated,1,People's Party for Freedom and Democracy,88,88,6,5,5,4,5,8,6,8,7,5
16670,Female,52,10.0,8,mid_educated,1,Democrats '66,8,8,9,7,7,88,88,9,9,8,10,3
16671,Female,62,6.0,1,mid_educated,1,Democrats '66,7,8,8,7,6,8,8,8,7,9,8,8
16672,Female,21,8.0,2,mid_educated,2,Not applicable*,7,8,9,6,6,5,88,6,5,4,8,8
16673,Male,76,13.0,6,highly_educated,1,Volt,1,8,8,4,0,0,7,8,7,3,9,4
16674,Female,28,3.0,4,lower_educated,2,Not applicable*,88,7,8,88,88,88,88,7,6,6,7,3
16675,Male,47,18.0,1,highly_educated,1,Party for the Animals,2,8,8,4,6,4,0,8,6,8,7,8
16676,Male,66,4.0,1,lower_educated,1,Labour Party,0,7,7,3,3,0,6,5,7,4,5,5
16677,Female,49,3.0,1,lower_educated,8,Not applicable*,3,6,6,6,6,7,88,5,4,2,5,5
16678,Male,36,14.0,8,highly_educated,1,Forum for Democracy,7,6,7,6,4,3,5,7,8,4,8,8
16679,Female,83,4.0,6,lower_educated,1,Party for the Animals,3,6,4,5,7,9,7,9,8,7,8,9
16680,Female,66,14.0,1,highly_educated,1,Green Left,6,8,88,6,6,7,88,8,8,7,8,8
16681,Female,81,3.0,6,lower_educated,1,Christian Democratic Appeal,7,6,6,6,6,6,6,7,7,7,7,5
16682,Male,43,6.0,1,mid_educated,1,Other,2,3,6,0,2,3,2,5,9,7,7,4
16683,Male,56,16.0,1,highly_educated,1,Socialist Party,6,9,8,5,5,6,7,8,8,6,6,6
16684,Male,66,16.0,1,highly_educated,1,Democrats '66,4,6,8,4,5,7,7,7,7,5,9,6
16685,Female,42,14.0,1,highly_educated,1,Christian Union,5,4,8,5,5,5,7,3,6,7,5,5
16686,Male,52,16.0,1,highly_educated,1,Party for Freedom,2,3,6,4,4,0,7,3,5,3,7,5
16687,Female,42,14.0,1,highly_educated,1,Democrats '66,7,8,8,7,7,7,8,4,6,4,7,6
16688,Female,34,17.0,1,highly_educated,1,Democrats '66,7,9,9,6,7,8,8,8,8,7,8,7
16689,Female,58,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,7,7,7,5,5,4,5,4,8,8,7,4
16690,Male,34,4.0,9,lower_educated,1,Don't know*,7,8,9,7,7,8,7,8,8,7,7,6
16691,Female,48,16.0,8,highly_educated,1,Socialist Party,7,8,6,6,6,7,8,9,8,8,7,6
16692,Female,82,17.0,6,highly_educated,1,Democrats '66,6,7,7,7,6,6,7,7,7,7,7,7
16693,Male,31,16.0,1,highly_educated,1,Christian Democratic Appeal,7,9,8,6,6,5,7,5,6,5,7,5
16694,Male,72,17.0,6,highly_educated,1,Democrats '66,3,8,7,4,4,4,6,5,9,6,7,7
16695,Female,59,18.0,1,highly_educated,3,Not applicable*,4,6,6,4,5,1,3,7,7,7,7,5
16696,Male,51,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,3,5,7,5,3,6,5,8,7,7,5,5
16697,Female,36,10.0,1,mid_educated,2,Not applicable*,7,7,6,7,7,7,7,7,8,8,10,9
16698,Male,48,4.0,1,lower_educated,1,Forum for Democracy,4,6,8,5,5,4,6,7,7,6,9,6
16699,Male,23,16.0,1,highly_educated,1,Democrats '66,3,8,8,4,4,8,7,3,3,5,5,7
16700,Male,56,16.0,1,highly_educated,1,Socialist Party,8,9,7,6,7,7,7,7,8,5,7,6
16701,Female,16,4.0,1,lower_educated,3,Not applicable*,3,5,6,2,3,4,5,7,8,5,2,4
16702,Male,41,2.0,1,lower_educated,1,Green Left,2,9,8,2,4,6,7,9,9,4,6,7
16703,Male,49,10.0,1,mid_educated,1,Democrats '66,8,9,9,6,6,7,6,9,8,7,7,7
16704,Female,19,6.0,2,mid_educated,1,Volt,7,7,7,6,6,7,6,7,6,4,9,8
16705,Female,77,8.0,6,mid_educated,1,Christian Democratic Appeal,0,2,7,3,3,3,88,7,7,8,6,6
16706,Female,26,15.0,1,highly_educated,1,Party for the Animals,4,6,7,4,3,6,6,6,7,6,8,8
16707,Female,27,10.0,1,mid_educated,1,Don't know*,5,7,7,6,5,5,5,7,7,5,8,5
16708,Female,16,4.0,1,lower_educated,3,Not applicable*,7,7,7,6,6,7,6,6,7,6,7,7
16709,Female,72,13.0,6,highly_educated,1,Labour Party,4,7,7,2,4,4,4,8,7,5,7,6
16710,Female,66,12.0,6,highly_educated,1,Labour Party,8,9,7,7,7,8,9,8,7,5,8,7
16711,Male,57,10.0,1,mid_educated,1,Democrats '66,4,5,5,1,3,2,5,88,5,5,7,7
16712,Female,31,16.0,1,highly_educated,1,BoerBurgerBeweging,7,7,8,6,6,7,7,9,10,8,7,5
16713,Female,36,14.0,88,highly_educated,1,Christian Union,7,7,6,7,8,8,8,8,8,7,6,6
16714,Male,33,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,3,7,7,3,3,5,8,5,5,7,10,8
16715,Female,87,3.0,6,lower_educated,1,Democrats '66,4,4,6,4,3,6,3,6,5,3,6,0
16716,Female,20,12.0,2,highly_educated,1,People's Party for Freedom and Democracy,5,7,8,4,6,7,8,7,6,6,8,6
16717,Male,29,10.0,1,mid_educated,1,Democrats '66,7,8,8,6,6,88,7,7,9,5,7,6
16718,Female,54,10.0,1,mid_educated,1,Democrats '66,6,6,7,5,5,5,6,8,8,7,5,3
16719,Female,45,9.0,1,mid_educated,1,Party for the Animals,7,7,6,7,6,7,7,4,4,5,9,7
16720,Female,29,6.0,8,mid_educated,1,Party for Freedom,5,7,3,4,4,4,4,4,5,3,8,4
16721,Female,67,2.0,6,lower_educated,1,Don't know*,6,0,4,2,6,4,7,3,3,2,10,8
