,age,education,activity_work,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,gender,educational_level,political_trust
18051,77.0,10.0,6.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,5.0,5.0,6.0,6.0,7.0,7.0,Male,mid_educated,5.25
18052,46.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,10.0,10.0,8.0,7.0,7.0,8.0,8.0,Male,highly_educated,8.0
18053,52.0,17.0,1.0,1.0,1.0,2.0,66.0,6.0,5.0,7.0,8.0,8.0,5.0,6.0,7.0,7.0,Female,highly_educated,6.25
18054,89.0,2.0,6.0,2.0,2.2,2.0,66.0,6.0,5.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,Male,lower_educated,6.75
18055,19.0,4.0,1.0,1.0,5.0,2.0,66.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,Female,lower_educated,6.5
18056,58.0,3.0,1.0,1.0,17.0,2.0,66.0,6.0,2.0,7.0,8.0,8.0,6.0,6.0,7.0,8.0,Male,lower_educated,6.5
18057,70.0,3.0,6.0,1.0,17.0,1.0,17.0,1.0,5.0,3.0,7.0,8.0,2.0,2.0,1.0,7.0,Female,lower_educated,2.0
18058,51.0,17.0,1.0,1.0,6.0,2.0,66.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,3.0,7.0,Female,highly_educated,5.5
18059,31.0,17.0,1.0,1.0,13.0,1.0,13.0,2.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,3.4,Male,highly_educated,0.75
18060,32.0,17.0,8.0,1.0,6.0,2.0,66.0,6.0,4.0,4.0,6.0,8.0,3.0,4.0,5.0,7.0,Female,highly_educated,4.0
18061,20.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,4.4,3.0,3.0,2.0,3.0,3.0,6.0,6.0,Male,lower_educated,3.75
18062,22.0,6.0,2.0,2.0,8.8,2.0,66.0,6.0,2.0,5.0,4.0,8.0,2.0,2.0,7.0,5.0,Male,mid_educated,4.0
18063,56.0,9.0,1.0,1.0,17.0,1.0,17.0,2.0,5.0,2.0,4.0,7.0,1.0,3.0,1.0,7.0,Male,mid_educated,1.75
18064,56.0,6.0,1.0,1.0,17.0,1.0,17.0,2.0,5.0,5.0,6.0,7.0,6.0,7.0,5.0,5.0,Female,mid_educated,5.75
18065,71.0,4.0,8.0,1.0,17.0,1.0,17.0,2.0,5.0,3.0,5.0,7.0,0.0,0.0,0.0,5.0,Female,lower_educated,0.75
18066,60.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Female,lower_educated,2.75
18067,23.0,15.0,1.0,1.0,7.0,1.0,7.0,2.0,7.0,4.0,6.0,8.0,4.0,4.0,2.0,4.0,Male,highly_educated,3.5
18068,80.0,13.0,6.0,1.0,5.0,1.0,5.0,2.0,7.0,5.0,8.0,9.0,5.0,4.0,8.0,5.0,Female,highly_educated,5.5
18069,67.0,9.0,6.0,1.0,8.0,1.0,8.0,2.0,3.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,Female,mid_educated,5.75
18070,46.0,9.0,1.0,2.0,10.6,2.0,66.0,6.0,5.0,4.0,6.0,7.0,6.0,6.0,5.0,5.0,Female,mid_educated,5.25
18071,72.0,3.0,6.0,1.0,7.0,1.0,7.0,2.0,5.0,4.0,4.0,6.0,4.0,4.0,3.0,6.0,Female,lower_educated,3.75
18072,49.0,10.0,8.0,1.0,1.0,2.0,66.0,6.0,6.0,5.0,6.0,8.0,5.0,4.0,6.0,6.0,Female,mid_educated,5.0
18073,21.0,5.0,2.0,3.0,9.2,2.0,66.0,6.0,4.6,1.0,4.0,5.0,3.0,2.0,3.0,4.0,Female,lower_educated,2.25
18074,22.0,14.0,1.0,1.0,13.0,1.0,13.0,2.0,6.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,Female,highly_educated,2.0
18075,24.0,10.0,1.0,2.0,12.0,2.0,66.0,6.0,3.8,2.0,8.0,9.0,1.0,2.0,4.6,5.0,Male,mid_educated,2.4
18076,70.0,17.0,6.0,1.0,8.0,1.0,8.0,2.0,3.0,6.0,10.0,9.0,8.0,5.0,8.0,3.0,Male,highly_educated,6.75
18077,75.0,8.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,3.0,6.0,7.0,5.0,6.0,5.0,8.0,Female,mid_educated,4.75
18078,42.0,2.0,1.0,2.0,9.6,2.0,66.0,6.0,4.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,Male,lower_educated,6.5
18079,52.0,11.0,1.0,1.0,7.0,2.0,66.0,6.0,5.0,5.0,6.0,7.0,4.0,4.0,5.0,6.2,Male,mid_educated,4.5
18080,29.0,9.0,1.0,1.0,6.0,2.0,66.0,6.0,4.0,6.0,2.0,7.0,6.0,6.0,5.0,4.0,Male,mid_educated,5.75
18081,52.0,13.0,1.0,1.0,4.2,2.0,66.0,6.0,5.0,6.0,5.0,8.0,6.0,5.0,6.0,6.0,Male,highly_educated,5.75
18082,76.0,3.0,6.0,1.0,5.0,2.0,66.0,6.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Male,lower_educated,0.0
18083,43.0,9.0,1.0,1.0,5.0,2.0,66.0,6.0,8.0,3.0,7.0,8.0,3.0,3.0,4.0,5.6,Male,mid_educated,3.25
18084,54.0,16.0,1.0,1.0,7.0,2.0,66.0,6.0,5.0,7.0,9.0,9.0,6.0,3.0,6.0,7.0,Male,highly_educated,5.5
18085,55.0,14.0,4.0,1.0,6.0,2.0,66.0,6.0,4.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0,Female,highly_educated,5.75
18086,70.0,14.0,6.0,1.0,15.0,1.0,15.0,2.0,1.0,3.0,4.0,8.0,5.0,5.0,6.0,8.0,Female,highly_educated,4.75
18087,26.0,7.0,2.0,1.0,8.0,2.0,66.0,6.0,2.0,7.0,8.0,8.0,5.0,5.0,7.0,8.0,Male,mid_educated,6.0
18088,24.0,12.0,2.0,2.0,10.2,2.0,66.0,6.0,4.0,5.0,9.0,4.0,2.0,3.0,6.0,5.0,Female,highly_educated,4.0
18089,58.0,10.0,1.0,1.0,13.0,2.0,66.0,6.0,5.0,2.0,2.0,8.0,2.0,2.0,1.0,4.0,Female,mid_educated,1.75
18090,74.0,4.0,6.0,1.0,16.0,2.0,66.0,6.0,8.0,5.0,5.0,7.0,3.0,6.0,5.0,5.0,Male,lower_educated,4.75
18091,38.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,Female,lower_educated,4.0
18092,37.0,17.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,7.0,8.0,7.0,5.0,4.0,7.0,7.0,Male,highly_educated,5.75
18093,72.0,3.0,6.0,1.0,77.0,1.0,77.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,2.8,4.0,Female,lower_educated,1.95
18094,65.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,Male,mid_educated,6.25
18095,51.0,9.0,1.0,1.0,31.0,1.0,31.0,2.0,5.0,5.0,5.0,3.0,4.0,6.0,6.0,6.0,Female,mid_educated,5.25
18096,20.0,6.0,2.0,2.0,10.0,1.0,10.0,2.0,0.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,Female,mid_educated,6.5
18097,49.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,7.0,5.0,3.0,3.0,3.0,3.0,Male,mid_educated,3.25
18098,41.0,9.0,8.0,1.0,16.0,2.0,66.0,6.0,7.0,1.0,4.0,8.0,0.0,2.0,0.0,2.0,Female,mid_educated,0.75
18099,50.0,3.0,8.0,1.0,17.0,1.0,17.0,2.0,5.0,5.0,5.0,9.0,5.0,6.0,5.0,4.6,Female,lower_educated,5.25
18100,69.4,14.0,8.0,2.0,1.0,1.0,1.0,8.0,4.0,8.0,7.8,8.0,10.0,10.0,7.0,7.0,Female,highly_educated,8.75
18101,21.0,7.0,2.0,3.0,8.0,1.0,8.0,2.0,7.0,4.0,5.0,7.0,5.0,6.0,8.0,7.0,Male,mid_educated,5.75
18102,32.0,14.0,1.0,1.0,6.0,2.0,66.0,6.0,5.0,6.0,7.0,8.0,5.0,5.0,6.0,6.0,Female,highly_educated,5.5
18103,31.0,17.0,4.0,1.0,10.0,1.0,10.0,3.0,0.0,7.0,9.0,7.0,6.0,8.0,7.0,7.0,Female,highly_educated,7.0
18104,61.0,6.0,1.0,1.0,8.0,1.0,8.0,2.0,4.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,Female,mid_educated,7.0
18105,62.0,3.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,3.0,8.0,9.0,5.0,7.0,1.0,5.0,Female,lower_educated,4.0
18106,61.0,9.0,8.0,1.0,2.8,2.0,66.0,6.0,5.0,4.0,5.0,7.0,6.0,5.0,5.0,4.0,Female,mid_educated,5.0
18107,17.0,2.0,2.0,3.0,7.8,8.0,66.0,6.0,3.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,Female,lower_educated,6.75
18108,67.0,16.0,6.0,1.0,11.0,2.0,66.0,6.0,7.0,6.0,7.0,7.0,4.0,4.0,4.0,5.0,Male,highly_educated,4.5
18109,71.0,9.0,6.0,1.0,17.0,1.0,17.0,1.0,6.0,1.0,5.0,8.0,0.0,0.0,5.0,4.8,Female,mid_educated,1.5
18110,31.0,16.0,1.0,1.0,1.0,2.0,66.0,6.0,7.0,7.0,7.0,1.0,1.0,2.0,5.0,0.0,Male,highly_educated,3.75
18111,49.0,6.0,1.0,1.0,1.0,2.0,66.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,Male,mid_educated,6.75
18112,56.0,14.0,1.0,1.0,7.0,1.0,7.0,1.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,Male,highly_educated,6.5
18113,26.0,17.0,1.0,1.0,7.0,1.0,7.0,2.0,4.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,Female,highly_educated,6.5
18114,31.0,16.0,1.0,1.0,15.0,1.0,15.0,2.0,3.0,7.0,8.0,7.0,5.0,6.0,6.0,6.0,Male,highly_educated,6.0
18115,65.0,17.0,1.0,1.0,16.0,1.0,16.0,1.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,Male,highly_educated,5.0
18116,55.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,6.0,2.0,0.0,8.0,0.0,7.0,0.0,4.0,Female,lower_educated,2.25
18117,72.0,14.0,6.0,1.0,10.0,1.0,10.0,2.0,2.0,3.0,5.0,7.0,3.0,4.0,6.0,4.0,Female,highly_educated,4.0
18118,75.0,2.0,6.0,2.0,5.0,2.0,66.0,6.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,8.0,Male,lower_educated,5.0
18119,71.0,14.0,6.0,1.0,7.6,2.0,66.0,6.0,8.0,6.0,6.0,7.0,5.0,5.0,4.0,5.0,Male,highly_educated,5.0
18120,60.0,9.0,1.0,1.0,17.0,1.0,17.0,1.0,8.0,4.0,6.0,6.0,5.0,6.0,6.0,7.0,Female,mid_educated,5.25
18121,52.0,10.0,1.0,1.0,1.0,2.0,66.0,6.0,5.0,5.0,8.0,8.0,5.0,5.0,6.0,6.0,Male,mid_educated,5.25
18122,69.0,8.0,6.0,2.0,9.8,2.0,66.0,6.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,Male,mid_educated,3.75
18123,58.0,17.0,1.0,1.0,6.0,2.0,66.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,Male,highly_educated,7.0
18124,27.0,17.0,1.0,1.0,17.0,1.0,17.0,2.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,8.0,Male,highly_educated,7.25
18125,48.0,16.0,1.0,1.0,15.0,1.0,15.0,2.0,4.0,8.0,9.0,9.0,7.0,6.0,7.0,8.0,Female,highly_educated,7.0
18126,47.0,17.0,1.0,1.0,1.0,2.0,66.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,Male,highly_educated,5.0
18127,37.0,10.0,1.0,1.0,5.2,2.0,66.0,6.0,6.0,5.0,3.0,6.0,2.0,4.0,4.0,7.0,Male,mid_educated,3.75
18128,63.0,9.0,6.0,1.0,1.0,2.0,66.0,6.0,5.0,6.0,5.0,8.0,5.0,4.0,6.0,6.0,Female,mid_educated,5.25
18129,35.0,14.0,1.0,1.0,15.0,1.0,15.0,3.0,4.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,Male,highly_educated,7.0
18130,61.0,3.0,8.0,1.0,5.0,1.0,5.0,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,Female,lower_educated,5.5
18131,65.0,7.0,5.0,1.0,1.0,2.0,66.0,6.0,7.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,Female,mid_educated,2.0
18132,73.0,10.0,6.0,1.0,2.0,1.0,2.0,3.0,6.0,1.0,6.0,7.0,1.0,1.0,1.0,8.0,Male,mid_educated,1.0
18133,35.0,14.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,8.0,7.0,8.0,7.0,7.0,9.0,8.0,Female,highly_educated,7.75
18134,61.0,18.0,1.0,1.0,10.0,1.0,10.0,2.0,2.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,Female,highly_educated,8.25
18135,35.0,6.0,1.0,1.0,8.0,1.0,8.0,2.0,2.0,8.0,9.0,7.0,7.0,8.0,9.0,8.0,Male,mid_educated,8.0
18136,27.0,17.0,1.0,1.0,1.0,2.0,66.0,6.0,7.0,4.0,6.0,5.0,1.0,1.0,4.0,6.0,Female,highly_educated,2.5
18137,23.0,14.0,1.0,1.0,8.0,2.0,66.0,6.0,4.0,2.0,7.0,8.0,4.0,5.0,6.0,7.0,Female,highly_educated,4.25
18138,64.0,4.0,1.0,1.0,1.0,2.0,66.0,6.0,8.0,3.0,4.0,7.0,3.0,3.0,3.0,4.0,Male,lower_educated,3.0
18139,53.0,10.0,1.0,1.0,1.0,2.0,66.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0,Female,mid_educated,6.0
18140,35.0,10.0,1.0,1.0,6.0,2.0,66.0,6.0,3.0,7.0,8.0,8.0,6.0,6.0,6.0,7.0,Male,mid_educated,6.25
18141,77.0,16.0,6.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,9.0,8.0,6.0,6.0,7.0,5.0,Male,highly_educated,6.5
18142,49.0,17.0,1.0,1.0,5.0,2.0,66.0,6.0,7.0,9.0,8.0,9.0,7.0,7.0,9.0,9.0,Female,highly_educated,8.0
18143,68.0,3.0,6.0,1.0,7.0,1.0,7.0,1.0,3.0,2.0,5.0,9.0,2.0,3.0,3.0,5.8,Female,lower_educated,2.5
18144,77.0,16.0,6.0,1.0,16.0,2.0,66.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,Male,highly_educated,6.0
18145,50.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,6.0,8.0,7.0,5.0,8.0,8.0,7.6,7.2,Male,lower_educated,7.9
18146,70.0,14.0,6.0,1.0,10.0,1.0,10.0,2.0,3.0,6.0,8.0,9.0,5.0,8.0,6.0,7.0,Female,highly_educated,6.25
18147,26.0,17.0,1.0,1.0,8.0,2.0,66.0,6.0,1.0,9.0,9.0,8.0,7.0,8.0,8.0,8.0,Male,highly_educated,8.0
18148,33.0,13.0,1.0,1.0,5.0,2.0,66.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,5.2,6.2,Male,highly_educated,5.8
18149,32.0,10.0,1.0,1.0,17.0,1.0,17.0,2.0,6.0,5.0,6.0,5.0,4.0,4.0,1.0,5.0,Male,mid_educated,3.5
18150,49.0,14.0,1.0,1.0,10.0,1.0,10.0,2.0,2.0,7.0,9.0,8.0,7.0,5.0,6.0,7.2,Female,highly_educated,6.25
18151,27.0,14.0,1.0,1.0,8.0,1.0,8.0,2.0,1.0,7.0,8.0,8.0,6.0,6.0,7.0,4.0,Male,highly_educated,6.5
18152,43.0,2.0,8.0,2.0,4.6,2.0,66.0,6.0,7.0,6.0,10.0,9.0,8.0,8.0,5.0,9.0,Female,lower_educated,6.75
18153,54.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,6.0,Female,highly_educated,6.5
18154,56.0,4.0,1.0,2.0,6.4,2.0,66.0,6.0,5.0,2.0,1.0,5.0,1.0,2.0,5.0,7.0,Male,lower_educated,2.5
18155,72.0,17.0,8.0,1.0,15.0,1.0,15.0,2.0,5.0,4.0,8.0,9.0,6.0,5.0,6.0,7.0,Male,highly_educated,5.25
18156,53.0,17.0,1.0,3.0,6.0,1.0,6.0,2.0,5.0,8.0,10.0,8.0,7.0,6.0,7.0,7.0,Male,highly_educated,7.0
18157,19.0,7.0,2.0,2.0,12.2,2.0,66.0,6.0,4.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,Female,mid_educated,7.25
18158,27.0,10.0,1.0,2.0,6.6,2.0,66.0,6.0,5.0,5.0,7.0,8.0,8.0,5.0,4.0,4.0,Male,mid_educated,5.5
18159,54.0,16.0,1.0,1.0,1.0,2.0,66.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,6.0,7.0,Male,highly_educated,6.5
18160,16.0,4.0,2.0,3.0,7.4,2.0,66.0,6.0,7.0,7.0,6.0,7.0,4.0,4.0,4.0,5.4,Male,lower_educated,4.75
18161,23.0,15.0,1.0,1.0,6.0,2.0,66.0,6.0,5.0,6.0,9.0,8.0,6.0,6.0,7.0,8.0,Male,highly_educated,6.25
18162,72.0,14.0,6.0,1.0,5.0,1.0,5.0,2.0,6.0,7.0,7.0,8.0,5.0,6.0,5.0,7.0,Male,highly_educated,5.75
